0 	 Reward:  -0.001 	 Win Rate:  0.0 	 Completion:  0 	 Efficiency:  0 	 Duration:  0 	 Loss:  0 	 LR:  [1e-05] 	 Epsilon:  0.95
500 	 Reward:  1.396 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0 	 LR:  [1e-05] 	 Epsilon:  0.95
1000 	 Reward:  1.505 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6759370565414429 	 LR:  [1e-05] 	 Epsilon:  0.9025
1500 	 Reward:  1.475 	 Win Rate:  0.0 	 Completion:  53 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6886663436889648 	 LR:  [1e-05] 	 Epsilon:  0.8573749999999999
2000 	 Reward:  1.446 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6803502440452576 	 LR:  [1e-05] 	 Epsilon:  0.8145062499999999
2500 	 Reward:  1.698 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6767435669898987 	 LR:  [1e-05] 	 Epsilon:  0.7737809374999999
3000 	 Reward:  1.548 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6716417074203491 	 LR:  [1e-05] 	 Epsilon:  0.7350918906249998
3500 	 Reward:  1.473 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6773171424865723 	 LR:  [1e-05] 	 Epsilon:  0.6983372960937497
4000 	 Reward:  1.48 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6762068271636963 	 LR:  [1e-05] 	 Epsilon:  0.6983372960937497
4500 	 Reward:  1.606 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6764873266220093 	 LR:  [1e-05] 	 Epsilon:  0.6983372960937497
5000 	 Reward:  1.504 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6764853000640869 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
5500 	 Reward:  1.386 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6755427122116089 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
6000 	 Reward:  1.375 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.686536431312561 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
6500 	 Reward:  1.425 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6752222776412964 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
7000 	 Reward:  1.38 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6696122884750366 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
7500 	 Reward:  1.408 	 Win Rate:  0.2 	 Completion:  48 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6721531748771667 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
8000 	 Reward:  1.369 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6762751340866089 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
8500 	 Reward:  1.434 	 Win Rate:  0.0 	 Completion:  47 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6803226470947266 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
9000 	 Reward:  1.629 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6810632944107056 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
9500 	 Reward:  1.345 	 Win Rate:  0.0 	 Completion:  46 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6567872166633606 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
10000 	 Reward:  1.426 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6699892282485962 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
10500 	 Reward:  1.427 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6832795739173889 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
11000 	 Reward:  1.504 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6646570563316345 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
11500 	 Reward:  1.358 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6934671998023987 	 LR:  [1e-05] 	 Epsilon:  0.6634204312890623
