0 	 Reward:  -0.002 	 Win Rate:  0.0 	 Completion:  0 	 Efficiency:  0 	 Duration:  0 	 Loss:  0 	 LR:  [0.0005] 	 Epsilon:  0.95
500 	 Reward:  1.471 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  41 	 Duration:  0 	 Loss:  0 	 LR:  [0.0005] 	 Epsilon:  0.95
1000 	 Reward:  1.372 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6623887419700623 	 LR:  [0.0005] 	 Epsilon:  0.9025
1500 	 Reward:  1.567 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6516427397727966 	 LR:  [0.0005] 	 Epsilon:  0.8573749999999999
2000 	 Reward:  1.399 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  44 	 Duration:  0 	 Loss:  0.643498957157135 	 LR:  [0.0005] 	 Epsilon:  0.8145062499999999
2500 	 Reward:  1.712 	 Win Rate:  0.2 	 Completion:  53 	 Efficiency:  46 	 Duration:  0 	 Loss:  0.6686174869537354 	 LR:  [0.0005] 	 Epsilon:  0.7737809374999999
3000 	 Reward:  1.76 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  48 	 Duration:  0 	 Loss:  0.6519979238510132 	 LR:  [0.0005] 	 Epsilon:  0.7350918906249998
3500 	 Reward:  1.888 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  48 	 Duration:  0 	 Loss:  0.6538560390472412 	 LR:  [0.0005] 	 Epsilon:  0.6983372960937497
4000 	 Reward:  2.005 	 Win Rate:  0.0 	 Completion:  57 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.6489290595054626 	 LR:  [0.0005] 	 Epsilon:  0.6634204312890623
4500 	 Reward:  1.915 	 Win Rate:  0.2 	 Completion:  54 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.6606772541999817 	 LR:  [0.0005] 	 Epsilon:  0.6302494097246091
5000 	 Reward:  1.915 	 Win Rate:  0.0 	 Completion:  54 	 Efficiency:  49 	 Duration:  0 	 Loss:  0.6343435049057007 	 LR:  [0.0005] 	 Epsilon:  0.5987369392383786
5500 	 Reward:  1.825 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  49 	 Duration:  0 	 Loss:  0.6640066504478455 	 LR:  [0.0005] 	 Epsilon:  0.5688000922764596
6000 	 Reward:  1.843 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  50 	 Duration:  0 	 Loss:  0.6740066409111023 	 LR:  [0.0005] 	 Epsilon:  0.5688000922764596
6500 	 Reward:  1.958 	 Win Rate:  0.0 	 Completion:  55 	 Efficiency:  51 	 Duration:  0 	 Loss:  0.6623767018318176 	 LR:  [0.0005] 	 Epsilon:  0.5688000922764596
7000 	 Reward:  1.967 	 Win Rate:  0.2 	 Completion:  56 	 Efficiency:  52 	 Duration:  0 	 Loss:  0.6378596425056458 	 LR:  [0.0005] 	 Epsilon:  0.5688000922764596
7500 	 Reward:  1.69 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  48 	 Duration:  0 	 Loss:  0.649877667427063 	 LR:  [0.0005] 	 Epsilon:  0.5688000922764596
8000 	 Reward:  1.863 	 Win Rate:  0.2 	 Completion:  54 	 Efficiency:  49 	 Duration:  0 	 Loss:  0.6544348001480103 	 LR:  [0.0005] 	 Epsilon:  0.5688000922764596
